Freq,Normalised Spectra,velocity,Vlsr,V_LSRK,fit_X,fit_Y,Power_corrected,Normalised Power,a,b,c,,Vlsr,,expected
1419.38,0.040090688,216.32,220.125,-3.805,206.605,0.011629791,2.71E-02,2.78E-02,2.00E-07,-1.00E-04,0.0253,,-399.83,0,0
1419.388,0.033541122,214.63,218.435,,204.915,0.010335631,2.05E-02,2.11E-02,,,,,-398.8,0,0
1419.396,0.02703984,212.94,216.745,,203.225,0.020311481,1.40E-02,1.44E-02,,,,,-397.77,0,0
1419.404,0.017027758,211.25,215.055,,201.535,0.009884192,3.98E-03,4.09E-03,,,,,-396.74,0,0
1419.412,0.019272083,209.56,213.365,,199.845,0.016841002,6.20E-03,6.36E-03,,,,,-395.71,0,0
1419.42,0.021206353,207.87,211.675,,198.155,0.021072401,8.11E-03,8.32E-03,,,,,-394.68,0,0
1419.428,0.014951767,206.18,209.985,,196.465,0.017083026,1.83E-03,1.88E-03,,,,,-393.65,0,0
1419.436,0.01282832,204.49,208.295,,194.775,0.00827941,-3.20E-04,-3.28E-04,,,,,-392.62,0,0
1419.444,0.011629791,202.8,206.605,,193.085,0.012055149,-1.55E-03,-1.59E-03,,,,,-391.59,0,0
1419.452,0.010335631,201.11,204.915,,191.395,0.016425935,-2.87E-03,-2.94E-03,,,,,-390.56,0,0
1419.46,0.020311481,199.42,203.225,,189.705,0.010857727,7.07E-03,7.25E-03,,,,,-389.53,0,0
1419.468,0.009884192,197.73,201.535,,188.015,0.012263393,-3.39E-03,-3.47E-03,,,,,-388.49,0,0
1419.476,0.016841002,196.04,199.845,,186.325,0.011842562,3.54E-03,3.63E-03,,,,,-387.46,0,0
1419.484,0.021072401,194.35,198.155,,184.635,0.011563737,7.73E-03,7.93E-03,,,,,-386.43,0,0
1419.492,0.017083026,192.66,196.465,,182.945,0.010478969,3.71E-03,3.80E-03,,,,,-385.4,0,0
1419.5,0.00827941,190.97,194.775,,181.255,0.007195733,-5.13E-03,-5.26E-03,,,,,-384.37,0,0
1419.508,0.012055149,189.28,193.085,,179.565,0.002598808,-1.39E-03,-1.43E-03,,,,,-383.34,0,0
1419.516,0.016425935,187.59,191.395,,177.875,0.013276726,2.94E-03,3.01E-03,,,,,-382.31,0,0
1419.524,0.010857727,185.9,189.705,,176.185,0.016216838,-2.67E-03,-2.74E-03,,,,,-381.28,0,0
1419.532,0.012263393,184.21,188.015,,174.495,0.003617686,-1.31E-03,-1.34E-03,,,,,-380.25,0,0
1419.54,0.011842562,182.52,186.325,,172.805,0.003089962,-1.77E-03,-1.81E-03,,,,,-379.22,0,0
1419.548,0.011563737,180.83,184.635,,171.115,0.001578664,-2.09E-03,-2.14E-03,,,,,-378.19,0,0
1419.556,0.010478969,179.14,182.945,,169.425,0.010277463,-3.22E-03,-3.30E-03,,,,,-377.16,0,0
1419.564,0.007195733,177.45,181.255,,167.735,0.018222791,-6.55E-03,-6.72E-03,,,,,-376.13,0,0
1419.572,0.002598808,175.76,179.565,,166.045,0.013557601,-1.12E-02,-1.15E-02,,,,,-375.1,0,0
1419.58,0.013276726,174.07,177.875,,164.355,0.014980107,-5.64E-04,-5.78E-04,,,,,-374.07,-0.01,-0.0001558360605
1419.588,0.016216838,172.38,176.185,,162.665,0.016200892,2.33E-03,2.39E-03,,,,,-373.04,0,0
1419.596,0.003617686,170.69,174.495,,160.975,0.016139862,-1.03E-02,-1.06E-02,,,,,-372.01,0,0
1419.604,0.003089962,169,172.805,,159.285,0.007814575,-1.09E-02,-1.12E-02,,,,,-370.98,0,0
1419.612,0.001578664,167.31,171.115,,157.595,0.013604015,-1.25E-02,-1.28E-02,,,,,-369.95,0,0
1419.62,0.010277463,165.62,169.425,,155.905,0,-3.82E-03,-3.92E-03,,,,,-368.92,0,0
1419.628,0.018222791,163.93,167.735,,154.215,0.013906105,4.07E-03,4.17E-03,,,,,-367.88,0,0
1419.636,0.013557601,162.24,166.045,,152.525,0.008527592,-6.52E-04,-6.69E-04,,,,,-366.85,0,0
1419.644,0.014980107,160.55,164.355,,150.835,0.009200952,7.13E-04,7.31E-04,,,,,-365.82,0,0
1419.652,0.016200892,158.86,162.665,,149.145,0.010183897,1.88E-03,1.92E-03,,,,,-364.79,0,0
1419.66,0.016139862,157.17,160.975,,147.455,0.012527486,1.75E-03,1.80E-03,,,,,-363.76,0,0
1419.668,0.007814575,155.48,159.285,,145.765,0.012459176,-6.63E-03,-6.80E-03,,,,,-362.73,0,0
1419.676,0.013604015,153.79,157.595,,144.075,0.009026533,-9.04E-04,-9.27E-04,,,,,-361.7,0,0
1419.684,0,152.1,155.905,,142.385,0.011462791,-1.46E-02,-1.49E-02,,,,,-360.67,0,0
1419.692,0.013906105,150.41,154.215,,140.695,0.001242952,-7.29E-04,-7.47E-04,,,,,-359.64,0,0
1419.7,0.008527592,148.72,152.525,,139.005,0.01879725,-6.17E-03,-6.33E-03,,,,,-358.61,0,0
1419.708,0.009200952,147.03,150.835,,137.315,0.019515455,-5.57E-03,-5.71E-03,,,,,-357.58,0,0
1419.716,0.010183897,145.34,149.145,,135.625,0.008251619,-4.65E-03,-4.77E-03,,,,,-356.55,0,0
1419.724,0.012527486,143.65,147.455,,133.935,0.006366143,-2.38E-03,-2.44E-03,,,,,-355.52,0,0
1419.732,0.012459176,141.96,145.765,,132.245,0.004854797,-2.51E-03,-2.58E-03,,,,,-354.49,0,0
1419.74,0.009026533,140.27,144.075,,130.555,0.003834163,-6.02E-03,-6.17E-03,,,,,-353.46,0,0
1419.748,0.011462791,138.58,142.385,,128.865,0.013998428,-3.65E-03,-3.75E-03,,,,,-352.43,0,0
1419.756,0.001242952,136.89,140.695,,127.175,0.004934598,-1.39E-02,-1.43E-02,,,,,-351.4,0,0
1419.764,0.01879725,135.2,139.005,,125.485,0.017705667,3.53E-03,3.62E-03,,,,,-350.37,0,0
1419.772,0.019515455,133.51,137.315,,123.795,0.008571452,4.18E-03,4.28E-03,,,,,-349.34,0,0
1419.78,0.008251619,131.82,135.625,,122.105,0.009575554,-7.16E-03,-7.35E-03,,,,,-348.31,0,0
1419.788,0.006366143,130.13,133.935,,120.415,0.01200386,-9.13E-03,-9.36E-03,,,,,-347.28,0,0
1419.796,0.004854797,128.44,132.245,,118.725,0.018796885,-1.07E-02,-1.10E-02,,,,,-346.24,0,0
1419.804,0.003834163,126.75,130.555,,117.035,0.013522826,-1.18E-02,-1.21E-02,,,,,-345.21,0,0
1419.812,0.013998428,125.06,128.865,,115.345,0.018488037,-1.74E-03,-1.78E-03,,,,,-344.18,0,0
1419.82,0.004934598,123.37,127.175,,113.655,0.011536034,-1.09E-02,-1.12E-02,,,,,-343.15,0,0
1419.828,0.017705667,121.68,125.485,,111.965,0.000618154,1.80E-03,1.85E-03,,,,,-342.12,0,0
1419.836,0.008571452,119.99,123.795,,110.275,0.009747217,-7.41E-03,-7.60E-03,,,,,-341.09,0,0
1419.844,0.009575554,118.3,122.105,,108.585,0.011988134,-6.50E-03,-6.66E-03,,,,,-340.06,0,0
1419.852,0.01200386,116.61,120.415,,106.895,0.016540737,-4.15E-03,-4.26E-03,,,,,-339.03,0,0
1419.86,0.018796885,114.92,118.725,,105.205,0.012864863,2.55E-03,2.62E-03,,,,,-338,0,0
1419.868,0.013522826,113.23,117.035,,103.515,0.022645959,-2.81E-03,-2.89E-03,,,,,-336.97,0,0
1419.876,0.018488037,111.54,115.345,,101.825,0.013962434,2.06E-03,2.11E-03,,,,,-335.94,0.01,0.0001558360605
1419.884,0.011536034,109.85,113.655,,100.135,0.022639002,-4.98E-03,-5.11E-03,,,,,-334.91,0.01,0.0001558360605
1419.892,0.000618154,108.16,111.965,,98.445,0.008830596,-1.60E-02,-1.64E-02,,,,,-333.88,0.01,0.0001558360605
1419.9,0.009747217,106.47,110.275,,96.755,0.020674423,-6.96E-03,-7.14E-03,,,,,-332.85,0,0
1419.908,0.011988134,104.78,108.585,,95.065,0.014948973,-4.81E-03,-4.93E-03,,,,,-331.82,0,0
