Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
  0,-360.00,    0.0105,    0.1053
  1,-355.00,    0.0226,    0.1398
  2,-350.00,    0.0170,    0.1298
  3,-345.00,    0.0184,    0.1055
  4,-340.00,    0.0132,    0.1141
  5,-335.00,    0.0145,    0.0984
  6,-330.00,    0.0143,    0.0484
  7,-325.00,    0.0187,   -0.0394
  8,-320.00,    0.0236,   -0.1013
  9,-315.00,    0.0218,   -0.0878
 10,-310.00,    0.0132,   -0.0848
 11,-305.00,    0.0180,   -0.0777
 12,-300.00,    0.0280,   -0.0717
 13,-295.00,    0.0383,   -0.0730
 14,-290.00,    0.0405,   -0.0425
 15,-285.00,    0.0228,    0.0069
 16,-280.00,    0.0044,    0.0541
 17,-275.00,   -0.0124,    0.0813
 18,-270.00,   -0.0170,    0.0505
 19,-265.00,   -0.0198,   -0.0611
 20,-260.00,   -0.0357,   -0.2063
 21,-255.00,   -0.0401,   -0.5458
 22,-250.00,   -0.0501,   -0.4763
 23,-245.00,   -0.0559,   -0.0368
 24,-240.00,   -0.0370,    0.0640
 25,-235.00,   -0.0327,    0.1294
 26,-230.00,   -0.0309,   -0.0201
 27,-225.00,   -0.0237,    0.1902
 28,-220.00,   -0.0295,    0.9617
 29,-215.00,   -0.0302,    1.6068
 30,-210.00,   -0.0156,    2.2172
 31,-205.00,   -0.0011,    2.7609
 32,-200.00,    0.0133,    3.0205
 33,-195.00,    0.0269,    2.9395
 34,-190.00,    0.0411,    2.7057
 35,-185.00,    0.0536,    2.4743
 36,-180.00,    0.0568,    2.2671
 37,-175.00,    0.0610,    2.1017
 38,-170.00,    0.0694,    2.0511
 39,-165.00,    0.0723,    2.1166
 40,-160.00,    0.0905,    2.2619
 41,-155.00,    0.1074,    2.4744
 42,-150.00,    0.1128,    2.7744
 43,-145.00,    0.1316,    3.2623
 44,-140.00,    0.1545,    4.0169
 45,-135.00,    0.1853,    5.0368
 46,-130.00,    0.2180,    6.3757
 47,-125.00,    0.2587,    8.4675
 48,-120.00,    0.3052,   12.0616
 49,-115.00,    0.3368,   18.7660
 50,-110.00,    0.3623,   31.9021
 51,-105.00,    0.3919,   52.8161
 52,-100.00,    0.4154,   74.1105
