Channel,Velocity, T_b (23 deg), T_b (10 deg)
 , km/s, K, K
  0,-600.21,    0.0000,   -0.0023
  1,-598.92,    0.0000,   -0.0047
  2,-597.63,    0.0000,   -0.0022
  3,-596.34,    0.0000,   -0.0013
  4,-595.05,   -0.0000,    0.0002
  5,-593.77,   -0.0000,    0.0065
  6,-592.48,   -0.0000,    0.0101
  7,-591.19,   -0.0000,    0.0017
  8,-589.90,    0.0000,    0.0006
  9,-588.61,   -0.0000,   -0.0020
 10,-587.33,   -0.0000,    0.0006
 11,-586.04,   -0.0000,   -0.0015
 12,-584.75,    0.0000,   -0.0002
 13,-583.46,    0.0000,    0.0005
 14,-582.17,    0.0000,    0.0011
 15,-580.88,    0.0000,   -0.0032
 16,-579.60,    0.0000,   -0.0022
 17,-578.31,    0.0000,   -0.0020
 18,-577.02,    0.0000,    0.0003
 19,-575.73,    0.0000,    0.0040
 20,-574.44,    0.0000,    0.0021
 21,-573.15,    0.0000,    0.0010
 22,-571.87,    0.0000,    0.0011
 23,-570.58,    0.0000,    0.0003
 24,-569.29,    0.0000,    0.0061
 25,-568.00,    0.0000,    0.0046
 26,-566.71,    0.0000,    0.0026
 27,-565.43,    0.0000,   -0.0002
 28,-564.14,    0.0000,    0.0002
 29,-562.85,    0.0000,    0.0028
 30,-561.56,    0.0000,    0.0055
 31,-560.27,   -0.0000,    0.0055
 32,-558.98,    0.0000,    0.0012
 33,-557.70,    0.0000,    0.0047
 34,-556.41,    0.0000,    0.0085
 35,-555.12,    0.0000,    0.0078
 36,-553.83,    0.0000,    0.0069
 37,-552.54,    0.0000,    0.0104
 38,-551.26,    0.0000,    0.0084
 39,-549.97,    0.0000,    0.0061
 40,-548.68,    0.0000,    0.0061
 41,-547.39,    0.0000,    0.0068
 42,-546.10,    0.0000,    0.0085
 43,-544.81,    0.0000,    0.0075
 44,-543.53,    0.0000,    0.0101
 45,-542.24,    0.0000,    0.0080
 46,-540.95,    0.0000,    0.0075
 47,-539.66,    0.0000,    0.0027
 48,-538.37,    0.0000,    0.0017
 49,-537.08,    0.0000,    0.0043
 50,-535.80,    0.0000,    0.0025
 51,-534.51,    0.0000,    0.0029
 52,-533.22,    0.0000,    0.0043
 53,-531.93,    0.0000,   -0.0028
 54,-530.64,    0.0000,    0.0035
 55,-529.36,    0.0000,    0.0090
 56,-528.07,    0.0000,    0.0089
 57,-526.78,    0.0000,    0.0093
 58,-525.49,    0.0000,    0.0068
 59,-524.20,    0.0000,    0.0060
 60,-522.91,    0.0000,    0.0056
 61,-521.63,    0.0000,    0.0105
 62,-520.34,    0.0000,    0.0042
 63,-519.05,    0.0000,    0.0051
 64,-517.76,    0.0026,    0.0010
 65,-516.47,    0.0026,    0.0029
 66,-515.19,    0.0026,    0.0048
 67,-513.90,    0.0026,    0.0003
 68,-512.61,    0.0026,   -0.0026
 69,-511.32,    0.0026,    0.0011
 70,-510.03,    0.0026,    0.0025
 71,-508.74,    0.0026,    0.0010
 72,-507.46,    0.0026,    0.0016
 73,-506.17,    0.0026,    0.0003
 74,-504.88,    0.0026,    0.0047
 75,-503.59,    0.0026,    0.0017
 76,-502.30,    0.0026,    0.0016
 77,-501.01,    0.0026,    0.0006
 78,-499.73,    0.0025,   -0.0001
 79,-498.44,    0.0026,    0.0000
 80,-497.15,    0.0025,    0.0017
 81,-495.86,    0.0025,    0.0032
 82,-494.57,    0.0015,   -0.0003
 83,-493.29,    0.0024,    0.0009
 84,-492.00,    0.0019,    0.0017
 85,-490.71,    0.0014,    0.0040
 86,-489.42,    0.0009,    0.0001
 87,-488.13,    0.0006,    0.0002
 88,-486.84,    0.0006,    0.0007
 89,-485.56,    0.0003,   -0.0011
 90,-484.27,    0.0005,   -0.0067
 91,-482.98,    0.0004,   -0.0036
 92,-481.69,    0.0004,    0.0015
 93,-480.40,    0.0004,    0.0079
 94,-479.12,    0.0005,    0.0097
 95,-477.83,    0.0001,    0.0053
 96,-476.54,    0.0003,   -0.0026
 97,-475.25,   -0.0000,   -0.0043
 98,-473.96,   -0.0003,   -0.0013
 99,-472.67,    0.0005,   -0.0037
100,-471.39,    0.0003,   -0.0012
101,-470.10,    0.0006,    0.0050
102,-468.81,    0.0005,    0.0085
103,-467.52,    0.0005,    0.0063
104,-466.23,    0.0007,   -0.0002
105,-464.94,    0.0007,    0.0022
106,-463.66,    0.0007,    0.0073
107,-462.37,    0.0008,    0.0059
108,-461.08,    0.0012,    0.0027
109,-459.79,    0.0006,    0.0007
110,-458.50,    0.0008,   -0.0002
111,-457.22,    0.0013,    0.0001
112,-455.93,    0.0015,    0.0025
113,-454.64,    0.0011,    0.0014
114,-453.35,    0.0014,    0.0029
115,-452.06,    0.0010,    0.0006
116,-450.77,    0.0009,    0.0036
117,-449.49,    0.0017,    0.0060
118,-448.20,    0.0012,    0.0024
119,-446.91,    0.0010,    0.0014
120,-445.62,    0.0006,    0.0009
121,-444.33,    0.0009,   -0.0031
122,-443.04,   -0.0002,   -0.0024
123,-441.76,   -0.0008,   -0.0018
