Velocity,23.0 deg,10.0 deg
km/s, K, K
 -600.2, 0.00, 0.00
 -598.9, 0.00, 0.00
 -597.6, 0.00, 0.00
 -596.3, 0.00, 0.00
 -595.1, 0.00, 0.00
 -593.8, 0.00, 0.00
 -592.5, 0.00,-0.00
 -591.2, 0.00, 0.00
 -589.9, 0.00, 0.00
 -588.6, 0.00, 0.00
 -587.3, 0.00, 0.01
 -586.0, 0.00, 0.01
 -584.7, 0.00, 0.01
 -583.5, 0.00, 0.00
 -582.2, 0.00, 0.01
 -580.9, 0.00, 0.00
 -579.6, 0.00, 0.00
 -578.3, 0.00, 0.00
 -577.0, 0.00, 0.00
 -575.7, 0.01, 0.01
 -574.4, 0.01, 0.01
 -573.2, 0.00, 0.00
 -571.9, 0.00, 0.00
 -570.6, 0.00, 0.00
 -569.3, 0.00, 0.00
 -568.0, 0.00, 0.00
 -566.7, 0.00, 0.00
 -565.4, 0.00, 0.01
 -564.1, 0.00, 0.00
 -562.8, 0.00, 0.00
 -561.6, 0.01, 0.01
 -560.3, 0.01, 0.01
 -559.0, 0.01, 0.01
 -557.7, 0.01, 0.01
 -556.4, 0.00, 0.01
 -555.1, 0.00, 0.01
 -553.8, 0.01, 0.01
 -552.5, 0.01, 0.01
 -551.3, 0.00, 0.01
 -550.0, 0.01, 0.01
 -548.7, 0.01, 0.01
 -547.4, 0.00, 0.00
 -546.1, 0.00, 0.00
 -544.8, 0.00, 0.00
 -543.5, 0.00, 0.00
 -542.2, 0.00, 0.00
 -540.9, 0.00, 0.01
 -539.7, 0.00, 0.01
 -538.4, 0.00, 0.00
 -537.1, 0.00, 0.00
 -535.8, 0.00, 0.00
 -534.5, 0.00, 0.01
 -533.2, 0.00, 0.00
 -531.9, 0.00, 0.01
 -530.6, 0.00, 0.01
 -529.4, 0.00, 0.00
 -528.1, 0.00, 0.01
 -526.8, 0.00, 0.01
 -525.5, 0.00, 0.01
 -524.2, 0.00, 0.00
 -522.9, 0.00, 0.00
 -521.6, 0.00, 0.00
 -520.3, 0.00, 0.00
 -519.0, 0.00, 0.00
 -517.8, 0.00, 0.00
 -516.5, 0.00, 0.00
 -515.2, 0.00,-0.00
 -513.9, 0.00,-0.00
 -512.6, 0.00,-0.00
 -511.3, 0.00,-0.00
 -510.0, 0.00,-0.00
 -508.7, 0.00,-0.00
 -507.5, 0.00,-0.00
 -506.2,-0.00,-0.00
 -504.9,-0.00,-0.01
 -503.6,-0.00,-0.00
 -502.3, 0.00,-0.00
 -501.0,-0.00,-0.00
 -499.7, 0.00,-0.00
 -498.4, 0.00,-0.00
 -497.2, 0.00,-0.00
 -495.9, 0.00,-0.00
 -494.6, 0.00,-0.00
 -493.3, 0.00,-0.00
 -492.0, 0.00,-0.00
 -490.7, 0.00,-0.00
 -489.4, 0.00,-0.00
 -488.1, 0.00,-0.00
 -486.8, 0.00,-0.00
 -485.6, 0.00,-0.00
 -484.3, 0.00,-0.00
 -483.0, 0.00, 0.00
 -481.7, 0.00, 0.00
 -480.4, 0.00, 0.00
